,parnames,initial_value,dist_par1,dist_par2,dist_type,fit_par,par_group
1,pFS2,0.556,0.08,1,1,1,0
2,pFS20,0.461,0.1,1,1,1,0
3,StemConst,0.0217,0.021754,0.005,2,1,0
4,StemPower,2.77,2.77,0.2,2,1,0
5,pRF,0.171,0.05,2,1,1,0
6,pRn,0.07,0.01,1,1,1,1
7,SLA0,6.32,5.529,0.44,2,1,0
8,SLA1,3.94,3.875,0.11,2,1,0
9,tSLA,13.7,5.9705,2.15,2,1,0
10,k,0.56,0.55,0.7,1,1,1
11,fullCanAge,3,2,5,1,1,1
12,MaxIntcptn,0.2,0,1,1,1,1
13,LAImaxIntcptn,5,2,6,1,1,1
14,alpha,0.0458,0.02,0.06,1,1,0
15,MaxCond,0.0241,0.005,0.03,1,1,0
16,LAIgcx,4.87,2,5,1,1,0
17,CoeffCond,0.0373,0.0408,0.0028,2,1,0
18,HardPineCondRatio,1,0,10,1,1,1
19,wSx1000,235,235,25,2,1,0
20,thinPower,1.77,1,2.5,1,1,0
21,mF,0.118,0.05,0.3,1,1,0
22,mR,0,0,1,1,1,1
23,mS,1,0.1,1,1,1,0
24,Rttover,0.0386,0.0167,0.042,1,1,0
25,Duke pCRS,0.245,0.15,0.35,1,1,0
26,Duke thinPower,1.14,1,2.5,1,1,0
27,TMin,-2.54,4,2,2,1,0
28,Topt,30.8,25,2,2,1,0
29,Tmax,35.3,38,2,2,1,0
30,kF,0.176,0.1780282,0.0162,2,1,0
31,MaxAge,66.8,16,200,1,1,0
32,nAge,2,0.2,4,1,1,1
33,rAge,0.5,0.01,3,1,1,1
34,y,0.522,0.3,0.65,1,1,0
35,FCalpha700_h,1.62,1,1.8,1,1,0
36,fCalpha700,1.34,1,1.8,1,1,0
37,fCg700,1,0.2,1.8,1,1,1
38,SWconst,0.984,0.01,1.8,1,1,0
39,SWpower,7.29,1,13,1,1,0
40,MortRate,0.00148,2.00E-04,0.01666667,1,1,0
41,Alpha_h,0.0227,0.005,0.07,1,1,0
42,pFS_h,1.05,0.2,3,1,1,0
43,pR_h,0.16,0,2,1,1,1
44,mort_rate_h,0.00098,0,0.0025,1,1,1
45,SLA_h,19.1,16,3.8,2,1,0
46,pCRS,0.251,0.15,0.35,1,1,0
47,fCpFS700,0.82,0.5,1,1,1,0
48,Duke wSx1000,262,235,25,2,1,0
49,FR old Par1,0,-1,1.2,1,1,1
50,FR1,0.02,0,1,1,1,1
51,FR2,0.144,0,1,1,1,1
52,gamma_LAI,0.145,0.001,100,1,1,0
53,gamma_WS,0.115,0.1,100,1,1,0
54,gamma_WCR,0.048,0.001,100,1,1,0
55,gamma_WR,0.0314,0.001,100,1,1,0
56,gamma_Stem_Density,2.05,0.001,1000,1,1,0
57,gamma_Hardwood_stem,0.0641,0.001,100,1,1,0
58,gamma_GEP,0.743,0.001,100,1,1,0
59,gamma_ET,2.15,0.001,100,1,1,0
60,gamma_Ctrans,5,0.001,100,1,1,1
61,gamma_root_production,0.608,0.001,100,1,1,0
62,gamma_foliage_production,0.72,0.001,100,1,1,0
63,rho_LAI,0,0,1000,1,1,1
64,rho_WS,0.01,0,1000,1,1,1
65,rho_WCR,0,0,1000,1,1,1
66,rho_WR,0,0,1000,1,1,1
67,rho_Stem_Density,0,0,1000,1,1,1
68,rho_Hardwood_stem,0,0,1000,1,1,1
69,rho_GEP,0.0641,0,1000,1,1,0
70,rho_ET,0.335,0,1000,1,1,0
71,rho_Ctrans,0,0,1000,1,1,1
72,rho_Root_production,0,0,1000,1,1,1
73,rho_Foliage_production,0,0,1000,1,1,1
74,WsX1000_SD,1000,0,1000,1,1,1
75,ThinPower_SD,0.1,0,2,1,1,1
76,Mort_rate_SD,0.01,0,2,1,1,1
77,gamma_Foliage,0.2,0,100,1,1,1
