,system:time_start,Day,Year,Month,LAI,LAI_std,Sensor,Age
1,41,12,1984,4,0.683968042,0.458820302,Landsat5,1
2,440,6,1984,11,0.858393711,0.273407132,Landsat5,1
3,479,9,1985,1,0.668494334,0.250891798,Landsat5,2
4,487,9,1985,11,1.054959088,0.825334049,Landsat5,2
5,49,12,1986,1,0.702316581,0.320818165,Landsat5,3
6,59,13,1986,2,0.638418934,0.278912535,Landsat5,3
7,178,2,1986,4,0.733912465,0.219645378,Landsat5,3
8,75,14,1986,12,0.880250887,0.486025015,Landsat5,3
9,405,4,1987,3,0.757245572,0.775071747,Landsat5,4
10,103,15,1987,11,1.000550393,0.391753109,Landsat5,4
11,132,17,1987,12,0.909194355,0.527363627,Landsat5,4
12,240,22,1988,3,0.74073532,0.264515169,Landsat5,5
13,358,3,1988,12,1.064182702,0.272123229,Landsat5,5
14,403,4,1989,1,0.971894424,0.352921335,Landsat5,6
15,294,26,1989,4,1.383364372,0.459565759,Landsat5,6
16,211,20,1989,11,1.379012459,0.27670307,Landsat5,6
17,233,22,1989,12,0.988883534,0.450176624,Landsat5,6
18,56,13,1990,4,1.407890939,1.151361204,Landsat5,7
19,457,7,1990,11,1.45699393,0.609876546,Landsat5,7
20,475,9,1990,12,1.322419454,0.742744466,Landsat5,7
21,301,26,1991,1,1.200698297,0.520997326,Landsat5,8
22,318,27,1991,2,1.148529083,0.445775767,Landsat5,8
23,101,15,1991,3,1.06393074,0.245721213,Landsat5,8
24,109,16,1991,4,1.505069517,0.552434386,Landsat5,8
25,310,26,1991,11,1.23234655,0.234636124,Landsat5,8
26,7,1,1992,3,1.108081783,0.584985614,Landsat5,9
27,142,18,1992,4,1.233647355,0.804966817,Landsat5,9
28,341,28,1992,11,0.826920601,0.588399225,Landsat5,9
29,390,31,1993,1,1.377351604,0.751727823,Landsat5,10
30,208,20,1993,3,1.035905585,0.771894146,Landsat5,10
31,104,15,1993,11,1.958166525,0.419161556,Landsat5,10
32,3,1,1993,12,1.936791502,0.780110631,Landsat5,10
33,185,2,1994,1,1.94845741,0.579181554,Landsat5,11
34,359,3,1994,2,1.562681093,1.010702359,Landsat5,11
35,454,7,1994,3,1.258984474,1.256330448,Landsat5,11
36,461,8,1994,4,1.865318928,0.723469804,Landsat5,11
37,200,20,1994,12,2.337919576,0.588729339,Landsat5,11
