"PlotID","SiteID","LAT_WGS84","Planting_year","PlantMonth","PlantDensityHa","Initial_ASW","ASW_min","ASW_max","SoilClass","SI","FR","Initial_WF","Initial_WS","Initial_WR","DroughtLevel","DroughtStart","FertFlag","CO2flag","CO2elev","ControlPlotID","Initial_WF_H","Initial_WS_H","Initial_WR_H","LONG_WGS84","Mean_temp","mean_precip","MatchedFRPlotID","InitYear","InitMonth","StartAge","Initial_WCR","IrrFlag","IrrLevel","Initial_LAI","Initial_LAI_code","Initial_WR_code","StudyName","Treatment","ThinTreatment","Plot"
40001,40001,35.9782,1983,6,1511.158994,155,0,155,1,20.451875,-99,2.62,49.56,2.68,1,1996,0,0,0,40001,1.26,7.38,0.870309278,-79.0942,14.99500967,1180.880198,40006,1996,1,13,13.82,0,-99,1.435483871,0,0,"DKFACE","C",0,-99
40002,40001,35.9782,1983,6,1152.238199,155,0,155,1,20.451875,-99,2.8,53.58,3.38,1,1996,0,1,571,40001,1.8,12.52,0.81185567,-79.0942,14.99500967,1180.880198,40003,1996,1,13,15.84,0,-99,1.734516129,0,0,"DKFACE","CO2",0,-99
40003,40001,35.9782,1983,6,1858.76525,155,0,155,1,20.188,-99,4.74,98.82,1.98,1,1996,0,1,571,40005,0.6,5.8,0.597525773,-79.0942,14.99500967,1180.880198,40004,1996,1,13,23.56,0,-99,2.528387097,0,0,"DKFACE","CO2",0,-99
40004,40001,35.9782,1983,6,1742.087824,155,0,155,1,18.83541667,-99,3.74,72.48,2.92,1,1996,0,1,571,40006,0.92,4.68,0.720927835,-79.0942,14.99500967,1180.880198,40002,1996,1,13,18.02,0,-99,2.348387097,0,0,"DKFACE","CO2",0,-99
40005,40001,35.9782,1983,6,1521.150383,155,0,155,1,20.188,-99,4.6,80.62,1.32,1,1996,0,0,0,40005,0.9,5.22,0.428659794,-79.0942,14.99500967,1180.880198,40001,1996,1,13,19.86,0,-99,2.279032258,0,0,"DKFACE","C",0,-99
40006,40001,35.9782,1983,6,2475.594117,155,0,155,1,18.83541667,-99,4.16,80.32,1.86,1,1996,0,0,0,40006,0.74,3.24,0.539072165,-79.0942,14.99500967,1180.880198,40005,1996,1,13,19.28,0,-99,2.160322581,0,0,"DKFACE","C",0,-99
40007,40001,35.9782,1983,6,1334.898541,155,0,155,1,19.62857143,-99,5.7,85.06,2.356666667,1,1998,0,1,571,40009,1.32,11.76,0.948247423,-79.0942,14.99500967,1180.880198,40002,1998,1,15,22.32,0,-99,2.625,1,0,"DKFACE","CO2",0,-99
40008,40001,35.9782,1983,6,1227.966616,155,0,155,1,-99,1,6.34,78.7,2.302777778,1,1998,1,1,571,40009,1.16,9.42,0.948247423,-79.0942,14.99500967,1180.880198,40008,1998,1,15,20.54,0,-99,2.394516129,1,0,"DKFACE","CO2F",0,-99
40009,40001,35.9782,1983,6,1842.579517,155,0,155,1,19.62857143,-99,4.82,81.54,2.123240741,1,1998,0,0,0,40009,1.08,12.76,0.792371134,-79.0942,14.99500967,1180.880198,40011,1998,1,15,21.72,0,-99,2.252903226,1,0,"DKFACE","C",0,-99
40010,40001,35.9782,1983,6,1221.171111,155,0,155,1,-99,1,5.76,80.84,2.147114198,1,1998,1,0,0,40009,1.24,9.34,0.792371134,-79.0942,14.99500967,1180.880198,40012,1998,1,15,20.72,0,-99,1.660322581,1,0,"DKFACE","F",0,-99
40011,40001,35.9782,1983,6,1634.287832,155,0,155,1,19.62857143,-99,4.46,81.98,2.018299897,1,1998,0,0,0,40011,0.84,5.56,0.792371134,-79.0942,14.99500967,1180.880198,40011,1998,1,15,20.1,0,-99,1.989139785,0,0,"DKFACE","C",0,-99
40012,40001,35.9782,1983,6,1634.287832,155,0,155,1,-99,1,5.48,83.42,2.134683213,1,1998,1,0,0,40011,1.04,6.4,0.792371134,-79.0942,14.99500967,1180.880198,40012,1998,1,15,20.68,0,-99,1.660322581,0,0,"DKFACE","F",0,-99
