parnumber,parnames,initial_value,dist_par1,dist_par2,dist_type,fit_par,par_group
1,pFS2,0.4,0.08,1,uniform,TRUE,0
2,pFS20,0.3,0.1,1,uniform,TRUE,0
3,StemConst,0.021754,0.021754,0.005,normal,TRUE,0
4,StemPower,2.77,2.77,0.2,normal,TRUE,0
5,pRF,0.5,0.05,2,uniform,TRUE,0
6,fCg700_H,1,0.2,2,uniform,FALSE,1
7,SLA0,5.4287,5.529,0.44,normal,TRUE,0
8,SLA1,3.5754,3.875,0.11,normal,TRUE,0
9,tSLA,5.9705,5.9705,2.15,normal,TRUE,0
10,k,0.56,0.55,0.7,uniform,FALSE,1
11,LAIgcx_H,4.5,2,5,uniform,FALSE,0
12,MaxIntcptn,0.2,0,1,uniform,TRUE,1
13,LAImaxIntcptn,3,2,6,uniform,TRUE,1
14,alpha,0.04,0.02,0.1,uniform,TRUE,0
15,MaxCond,0.02,0.005,0.03,uniform,TRUE,0
16,LAIgcx,4.5,2,5,uniform,TRUE,0
17,CoeffCond,0.001,0.001,0.1,uniform,TRUE,0
18,MaxCond_H,0.002,0.0005,0.03,uniform,FALSE,1
19,wSx1000,235,235,25,normal,FALSE,0
20,thinPower,1.5,1,2.5,uniform,FALSE,0
21,mF,0.13,0.05,0.3,uniform,TRUE,0
22,mR,1,0,1,uniform,FALSE,1
23,mS,1,0.1,1,uniform,FALSE,0
24,Rttover,0.04,0.01,0.1,uniform,TRUE,0
25,Duke pCRS,0.2,0.15,0.35,uniform,TRUE,0
26,Duke thinPower,1.5,1.5,0.1,normal,TRUE,0
27,TMin,-2.44,4,2,normal,TRUE,0
28,Topt,23.72,25,2,normal,TRUE,0
29,Tmax,40.51,38,2,normal,TRUE,0
30,kF,0.17,0.001,0.3,uniform,TRUE,0
31,MaxAge,499,16,500,uniform,FALSE,0
32,nAge,2,0.2,4,uniform,FALSE,1
33,rAge,0.5,0.01,3,uniform,FALSE,1
34,y,0.48,0.3,0.65,uniform,TRUE,0
35,FCalpha700_h,1.5,1,2,uniform,TRUE,0
36,fCalpha700,1.3,1,2,uniform,TRUE,0
37,fCg700,1,0.2,1.8,uniform,TRUE,1
38,SWconst,0.65,0.01,1.8,uniform,TRUE,0
39,SWpower,8,1,13,uniform,TRUE,0
40,MortRate,0.00098,2.00E-04,0.01666667,uniform,TRUE,0
41,Alpha_h,0.1,0.005,0.2,uniform,TRUE,0
42,pFS_h,1.87,0.2,3,uniform,TRUE,0
43,pR_h,0.16,0,2,uniform,FALSE,1
44,mort_rate_h,0.00098,0,0.0025,uniform,FALSE,1
45,SLA_h,16.2,16,3.8,normal,TRUE,0
46,pCRS,0.3,0.15,0.35,uniform,FALSE,0
47,fCpFS700,0.84,0.5,1,uniform,TRUE,0
48,Duke wSx1000,235,200,400,uniform,TRUE,0
49,FR old Par1,0,-1,1.2,uniform,FALSE,1
50,FR1,0.02,0,1,uniform,FALSE,1
51,FR2,0.144,0,1,uniform,FALSE,1
52,gamma_LAI,10,0.001,100,uniform,TRUE,0
53,gamma_WS,5,0.1,100,uniform,TRUE,0
54,gamma_WCR,2,0.001,100,uniform,TRUE,0
55,gamma_WR,5,0.001,100,uniform,TRUE,0
56,gamma_Stem_Density,100,0.001,1000,uniform,TRUE,0
57,gamma_Hardwood_stem,1,0.001,100,uniform,TRUE,0
58,gamma_GEP,6,0.001,100,uniform,TRUE,0
59,gamma_ET,10,0.001,100,uniform,TRUE,0
60,gamma_Ctrans,5,0.001,100,uniform,TRUE,1
61,gamma_root_production,1,0.001,100,uniform,TRUE,0
62,gamma_foliage_production,1,0.001,100,uniform,TRUE,0
63,gamma_LAI_H,0.15,0.001,1000,uniform,TRUE,1
64,rho_WS,0,0,1000,uniform,FALSE,1
65,rho_WCR,0,0,1000,uniform,FALSE,1
66,rho_WR,0,0,1000,uniform,FALSE,1
67,rho_Stem_Density,0,0,1000,uniform,FALSE,1
68,rho_Hardwood_stem,0,0,1000,uniform,FALSE,1
69,rho_GEP,0.1,0,1000,uniform,TRUE,0
70,rho_ET,0.1,0,1000,uniform,TRUE,0
71,rho_Ctrans,0.1,0,1000,uniform,TRUE,1
72,rho_Root_production,0,0,1000,uniform,FALSE,1
73,rho_Foliage_production,0,0,1000,uniform,FALSE,1
74,WsX1000_SD,1000,0,1000,uniform,FALSE,1
75,ThinPower_SD,0.1,0,2,uniform,FALSE,1
76,Mort_rate_SD,0.01,0,2,uniform,FALSE,1
77,gamma_Foliage,0.2,0,100,uniform,FALSE,1
